Plot,Real.rich,Legume,Hed,PD,MNND,MPD,H,Simp,biomass2012,litter2012,biomass2013,biomass2014,ave.biomass,Light.tau,LAI,C.change.deep,C.change.surf,N.change.deep,N.change.surf,mean.N.change,poll_total,flwr_total,Mass.loss.1month,Mass.loss.2month,GRASS,SOAL,MOFI,ASTU,DECA,Damage_effect,bugs,bug.rich
X32,1,N,0,0,0,0,0,0,4.5,0,23.31,31.11,19.64,0.242,2.68,0.362,0.138,0.072,0.045,0.0585,255,4859.818182,3.37,3.507,NA,NA,NA,NA,NA,0,3,3
X13,1,N,0,0,0,0,0,0,66.24,15.2,88.9,53.37,69.50333333,0.074,3.76,-0.511,-0.026,-0.057,0.008,-0.0245,83,19064.22222,2.767,3.473,NA,NA,NA,NA,NA,0,24,14
X14,1,N,0,0,0,0,0,0,47.58,11.19,20.41,16.35,28.11333333,0.478,1.12,-0.343,-0.276,-0.005,0.017,0.006,194,498.5384615,2.838,3.41,NA,NA,NA,NA,NA,0,31,10
X60,1,L,0,0,0,0,0,0,34.17,10.69,13.02,42.59,29.92666667,0.351,2.4,0.908,0.343,0.164,0.01,0.087,0,0,2.748,3.399,NA,NA,NA,NA,NA,0,11,7
X2,1,N,0,0,0,0,0,0,47.89,79.05,35.39,15.64,32.97333333,0.312,1.67,-0.331,-0.031,0.007,-0.01,-0.0015,20,43113.5,2.891,3.362,NA,NA,NA,NA,NA,0,9,7
X92,1,N,0,0,0,0,0,0,32.12,32.36,19.28,2.41,17.93666667,0.395,1.43,0.989,0.4,0.103,0.008,0.0555,0,0,2.714,3.349,NA,NA,NA,NA,NA,0,7,3
X90,1,L,0,0,0,0,0,0,5.31,1.17,37.87,19.16,20.78,0.224,2.37,1.073,0.472,0.107,0.027,0.067,0,0,2.43,3.346,NA,NA,NA,NA,NA,0,10,6
X94,1,N,0,0,0,0,0,0,107.47,7.56,88.37,56.57,84.13666667,0.048,4.76,0.196,0.976,0.099,0.048,0.0735,28,26516.66667,2.748,3.221,NA,NA,NA,NA,NA,0,66,11
X87,1,N,0,0,0,0,0,0,36.18,2.98,12.88,17.89,22.31666667,0.516,1.08,0.795,0.941,0.073,0.101,0.087,133,488.2857143,2.553,3.144,NA,NA,NA,NA,NA,0,11,6
X99,1,N,0,0,0,0,0,0,24.13,1.14,32.16,25.19,27.16,0.47,1.49,-1.682,-0.394,0.07,0.159,0.1145,120,290.9,2.397,3.024,NA,NA,NA,NA,NA,0,9,3
X89,1,N,0,0,0,0,0,0,4.35,0,2.03,2.34,2.906666667,0.787,0.4,0.936,0.892,0.07,0.084,0.077,106,1538.454545,2.28,3.007,NA,NA,NA,NA,NA,0,0,0
X69,1,N,0,0,0,0,0,0,68.89,41.87,23.37,39.37,43.87666667,0.102,4.77,0.769,0.72,0.138,0.089,0.1135,176,306.125,2.245,2.987,NA,NA,NA,NA,NA,0,5,3
X76,1,N,0,0,0,0,0,0,0.4,0,16.67,28.1,15.05666667,0.716,0.68,0.233,0.42,0.234,0.028,0.131,97,1283.2,2.605,2.934,NA,NA,NA,NA,NA,0,5,4
X80,1,N,0,0,0,0,0,0,51.04,21.29,61.82,27.73,46.86333333,0.032,2.52,NA,NA,0.304,NA,0.304,198,452.625,2.659,2.824,NA,NA,NA,NA,NA,0,2,2
X64,2,N,0.693147181,6.672685464,6.672685464,6.672685464,0.327727082,0.181928377,21.55,16.08,39.56,23.06,28.05666667,0.002,11.59,0.243,0.7,0.108,0.032,0.07,0,0,3.477,3.965,-0.264720403,NA,NA,NA,NA,-0.264720403,0,0
X11,2,N,0.693147181,6.874754814,6.874754814,6.874754814,0.298825013,0.16117421,65.27,12.9,63.94,54.51,61.24,0.16,2.68,-0.227,0.168,-0.027,0.042,0.0075,115,12919.5,2.775,4.12,NA,-0.028124464,NA,NA,NA,-0.028124464,4,4
X97,2,N,0.693147181,6.874754814,6.874754814,6.874754814,0.512509822,0.330534016,46.92,5.38,61.25,53.75,53.97333333,0.075,3.97,2.108,0.694,0.06,0.09,0.075,45,48358.33333,2.668,3.628,NA,0.106149985,NA,NA,NA,0.106149985,14,8
